calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Andalucía;Andalucía;Andalucía;;2;Female;-;-;
Calle San Luis;San Luis;San;Luis;-2;Male;-;-;
Calle Julieta;Julieta;Julieta;;2;Female;-;-;
Avenida General Tomás Guardia;General Tomás Guardia;General;Tomás;-2;Male;-;-;
Calle San Juan;San Juan;San;Juan;-2;Male;-;-;
Calle Álvaro Araya;Álvaro Araya;Álvaro;Araya;-2;Male;-;-;
Calle María Isabel;María Isabel;María;Isabel;2;Female;-;-;
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;-;-;
Calle Mayra;Mayra;Mayra;;2;Female;-;-;
Avenida Lilian;Lilian;Lilian;;2;Female;-;-;
Calle Sonia;Sonia;Sonia;;2;Female;-;-;
Solo Ambulancias;Solo Ambulancias;Solo;Ambulancias;-2;Male;-;-;
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-;
Calle La Paula;La Paula;La;Paula;2;Female;-;-;
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;-;-;https://en.wikipedia.org/wiki/Saint_Barbara
Calle Elizabeth;Elizabeth;Elizabeth;;2;Female;-;-;
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Avenida Antonio Arroyo;Antonio Arroyo;Antonio;Arroyo;-2;Male;-;-;
Calle Fátima;Fátima;Fátima;;2;Female;-;-;
Calle Fabio Molina;Fabio Molina;Fabio;Molina;-2;Male;-;-;
Calle Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;-;-;
Calle Jesús Ocaña;Jesús Ocaña;Jesús;Ocaña;-2;Male;-;-;
Calle Rey David;Rey David;Rey;David;-2;Male;-;-;
Calle Don Luis;Don Luis;Don;Luis;-2;Male;-;-;
Calle Pérez;Pérez;Pérez;;-2;Male;-;-;
Avenida São Paulo;São Paulo;São;Paulo;-2;Male;-;-;
Calle Sophia;Sophia;Sophia;;2;Female;-;-;
Calle Évora;Évora;Évora;;2;Female;-;-;
Avenida Alexa;Alexa;Alexa;;2;Female;-;-;
Avenida Santiago;Santiago;Santiago;;-2;Male;-;-;
Pasaje León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-;
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-;
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-;
Calle Bernardo Castro;Bernardo Castro;Bernardo;Castro;-2;Male;-;-;
Calle Román;Román;Román;;-2;Male;-;-;
Boulevard de Andalucía;Andalucía;Andalucía;;2;Female;-;-;
Boulevard de Andalucía Sur;Andalucía Sur;Andalucía;Sur;2;Female;-;-;
Boulevard de Andalucía Norte;Andalucía Norte;Andalucía;Norte;2;Female;-;-;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle San Pío;San Pío;San;Pío;-2;Male;-;-;
Calle Los Pérez;Los Pérez;Los;Pérez;-2;Male;-;-;
Calle Jerusalén;Jerusalén;Jerusalén;;2;Male;-;-;
Avenida Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;-;-;
Avenida Juan Santamaria;Juan Santamaria;Juan;Santamaria;-2;Male;-;-;
Avenida Cristóbal;Cristóbal;Cristóbal;;-2;Male;-;-;
Calle San Vicente;San Vicente;San;Vicente;-2;Male;-;-;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Edwin;Edwin;Edwin;;-2;Male;-;-;
Avenida Bertilia;Bertilia;Bertilia;;2;Female;-;-;
Calle Ulises;Ulises;Ulises;;-2;Male;-;-;
Calle Fabio;Fabio;Fabio;;-2;Male;-;-;
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
